epoch,arrival_rate,executor,sample,runtime(s),accuracy
1,2,1,1,120.0,0.7995
1,2,1,2,155.0,0.7969
1,2,1,3,148.0,0.7997
1,2,1,4,113.0,0.8013
1,2,1,5,137.0,0.7889
1,4,1,1,81.0,0.8317
1,4,1,2,147.0,0.8192
1,4,1,3,121.0,0.7766
1,4,1,4,127.0,0.8042
1,4,1,5,126.0,0.8235
3,2,1,1,218.0,0.8676
3,2,1,2,244.0,0.8927
3,2,1,3,257.0,0.8175
3,2,1,4,251.0,0.879
3,2,1,5,269.0,0.9047
3,4,1,1,259.0,0.9039
3,4,1,2,136.0,0.8078
3,4,1,3,167.0,0.8817
3,4,1,4,285.0,0.9068
3,4,1,5,136.0,0.8164
5,4,1,1,357.0,0.9198
5,4,1,2,263.0,0.9286
5,4,1,3,192.0,0.8229
5,4,1,4,189.0,0.8886
5,4,1,5,191.0,0.9103
